lookback,skip,top_n,is_sharpe,is_cagr,is_mdd,oos_sharpe,oos_cagr,oos_mdd
3,0,2,0.12071548031280625,0.025236770706523526,-0.3918691057369519,0.608624889365291,0.09978906493538742,-0.21296907192609915
3,0,3,0.23558986797443118,0.044581878564585065,-0.33687622918353366,0.6161771584190839,0.09105861965011264,-0.1762267666832531
3,0,4,0.22535509468597636,0.04207578494557418,-0.27995527792732844,0.5355335978934219,0.07276933337841784,-0.18796276463065975
3,1,2,0.33271926002082086,0.06552856914938099,-0.35950996128288204,0.3581276037014713,0.061225224078965246,-0.3156318048547745
3,1,3,0.2793769999409715,0.0521767504696653,-0.26071376290571546,0.4876474658007792,0.07319419882759837,-0.2303089558786885
3,1,4,0.3205954283557918,0.056516194606434755,-0.2746018318061597,0.4521913839793425,0.06490196991984587,-0.2634192721590638
6,0,2,0.39318223553334064,0.07702042300617551,-0.23319956517615603,0.3990035097241484,0.06747421324745351,-0.24354828199322975
6,0,3,0.3503931142992973,0.06365910216638682,-0.23894671796044187,0.6352509607574278,0.092954042060446,-0.16979786280336007
6,0,4,0.3760838401995784,0.06309515452024517,-0.1797518498931331,0.768129630136514,0.10154648295870805,-0.15439917161754058
6,1,2,-0.030737936636108604,-0.008166741439193381,-0.5484432886324707,0.7234083375256383,0.12118847307335101,-0.2315987051956716
6,1,3,-0.014695350461423487,0.0010832578552779637,-0.45832086287528895,0.6860270904978638,0.10331146085836318,-0.195265508516569
6,1,4,0.014642545638853225,0.009916231811631038,-0.350854572356886,0.6608574590494891,0.0943225521806017,-0.2241791648801138
9,0,2,0.10474567314840043,0.02299836158256463,-0.3902019812177927,0.652025995239924,0.10796149740654504,-0.26530670202215956
9,0,3,0.25913934062050026,0.047036324335484325,-0.2677031932100491,0.7084916264095582,0.10470324653047935,-0.21041569253535586
9,0,4,0.2051431119314992,0.03816256771172122,-0.20592366628078462,0.7592259866276342,0.10039137780794927,-0.18830636630869024
9,1,2,0.036415645929140185,0.009939482454243143,-0.4527464818016612,0.6678042951482869,0.11047236812445371,-0.2184300213097602
9,1,3,0.14725736756956792,0.030566561139093507,-0.32372638168417367,0.8734485044804217,0.13019885074177973,-0.18540700194403392
9,1,4,0.1569001362881737,0.0319363853377721,-0.23987049843651953,0.766519949330382,0.10563939224592711,-0.19435947551446064
12,0,2,0.015804235576730934,0.006724922616656359,-0.36842467550063385,0.5625334988193744,0.09379237067460044,-0.2769382699236318
12,0,3,0.18208065563682133,0.03590408514054477,-0.2588368826551948,0.6139489505534843,0.09234470004417394,-0.2120297527466789
12,0,4,0.22682688041190693,0.04172819622624435,-0.19428394222465795,0.6088308514518576,0.08631733518620632,-0.1879701529844836
12,1,2,-0.10183604226410489,-0.016354363317850673,-0.459438668540493,0.543641967563721,0.09204668182843223,-0.29859439057622983
12,1,3,0.1351433508074946,0.028587036698978885,-0.29190358324564336,0.6876533601082634,0.10508701932634312,-0.26776087840464924
12,1,4,0.17840708792623292,0.035300637405736746,-0.23476257080822172,0.5682583711324829,0.08396835059510654,-0.23848729372084954
